dia;ativo3;ativo4;ativo11;ativo13;ativo14;ativo15;ativo16;ativo19;ativo20;ativo23;ativo24;ativo25;ativo28;ativo31;tivo33;ativo34;ativo37;ativo41;ativo42;ativo43;ativo50;ativo51;ativo55;ativo57;ativo64;ativo65;ativo66;ativo69;ativo71;ativo74;ativo76;ativo81;ativo82;ativo83;ativo84;ativo85;ativo86;ativo87;ativo89
1;0;0.0370476;0;-0.0028213;0.034792257;0.006578947;-0.004316069;0.035196687;0.008928516;0.010404162;0.044065513;0.004991653;0.004901961;0.009179742;-0.006802676;-0.028831602;-0.006214689;0.034384884;0.031854334;0.014013605;0.007312592;0.013989611;0.0138824;0.032258134;0;0.021249313;0.0064;0.006980803;0;0.010742726;0.016666667;0.003803888;-0.016561514;0;0;0.013929052;0.02668763;0;0
2;-0.005312193;-0.013793065;-0.010726965;-0.029463355;-0.017952259;0;-0.026675559;-0.005;-0.003539757;0.001188119;-0.037115544;-0.023178774;0.029268293;-0.030385163;0.00456621;0;0.006253553;-0.023076922;-0.025137774;-0.021739161;0.009981797;0.006004077;-0.007692311;-0.004687453;0;-0.038565058;-0.030405405;-0.009965338;0;-0.002922836;-0.03202796;-0.014736863;-0.029671211;0.03813546;0;-0.03465351;-0.048929693;0;0
3;0;0.034965007;0.003734865;-0.009348599;0.036405873;0;0.015758822;-0.028475712;-0.017761991;0.02056962;-0.032599152;-0.020339014;0.021800948;0;-0.003181818;-0.01625002;-0.000564972;-0.019966366;-0.004750057;-0.003968254;0.004492373;-0.00952379;0.054263431;0.048665509;0;-0.02985071;-0.022340644;0.013129103;0;-0.005101428;-0.023051592;0.001923077;-0.046280992;0;0;-0.012179366;-0.01607717;0;0
4;-0.018478698;-0.057432421;-0.040331227;-0.05418574;-0.043348298;-0.061437908;-0.045531197;-0.003793103;-0.045208018;-0.062015504;-0.077868784;-0.024221417;-0.002782931;-0.041916095;-0.039671728;-0.053367179;-0.027699265;-0.041606774;-0.055681818;-0.043665371;-0.040250351;-0.038461535;-0.022058684;-0.029940184;0;-0.019230769;-0.030398323;0.006479438;0;-0.057819676;-0.028892457;-0.010449926;-0.03812825;-0.022448904;0;-0.051265481;-0.042483693;0;0
5;0.017721169;-0.010035822;0.031894937;0.061044961;0.023437501;0.015320334;0.003533569;-0.016960886;0.011363662;0.020661157;0.049382716;0.010992872;0.047906977;-0.00625006;0.004273552;0.04530198;0.018023256;0.023652573;0.030084236;-0.009498401;0.03914252;0.0216;0.022556245;-0.019444363;0;0.005882353;0.011675676;0.01287558;0;-0.039720578;0.01785124;0.002155129;-0.016216216;-0.018789079;0;0.009575951;0.037542698;0;0
6;-0.007433679;-0.00506878;-0.025575867;-0.019413558;-0.010686962;-0.023319616;-0.013380282;-0.032394366;-0.014981347;-0.008097166;-0.040235309;0.004209026;-0.032401243;-0.010482156;-0.014184397;-0.012841115;-0.010850942;-0.030418136;-0.029205607;0.009421282;-0.034080757;-0.021404366;-0.005882234;-0.027384318;0;-0.019493177;-0.030562086;0;0;0.001903231;-0.022409874;-0.004301097;-0.038461538;-0.028723623;0;-0.014905122;-0.025493421;0.041666667;0
7;-0.002145915;0.004366775;-0.004851253;0.018354224;-0.003086435;0.000702247;0.040685225;-0.073871907;0;0.014285714;-0.00710957;-0.008033536;-0.036697248;0.019067769;0.011990408;0.008130109;0.001732102;0.009049713;0.032491023;0.01716665;0.09795728;0.000400157;-0.016272167;0.019417478;0;-0.001988072;-0.002425044;-0.000423729;0;0;0.013289004;-0.017278596;0;0.018620202;0;0.031499256;0.037974684;0;0
8;0.011828047;0.002898592;0.012500006;0.02247879;0.015015511;0.054736842;0.013374486;0.0043222;0.028517176;0.006036217;0.017036977;0.007042265;-0.00952381;-0.002078939;0.007109005;0;0.020172911;-0.001195815;-0.001165594;0.017696248;-0.086680784;0.015864549;0.021654133;0.006349142;0;0.002988008;-0.001546961;-0.002967359;0;-0.031913549;0;0.006593385;0.080952381;0;0;0.00120016;0.006178894;0;0
9;0.022306092;0.039017336;0.019753071;0.01406213;0.003507625;0.021290752;-0.016582064;-0.004694836;0.005545299;0;0.001456669;0.001748291;-0.012019231;0.008124941;-0.011764706;0;-0.016949153;-0.003292427;-0.014002288;0.020769618;0.003703791;0.003936952;-0.015307742;-0.02208199;0;0.003376405;0.000664011;-0.002976148;0;0.015654368;0.013278689;0.026200896;0.012334802;-0.01075265;0;0.002264205;0.027795668;0.005866706;0.076923117
10;0.007286831;0.015298975;0.004842642;0.025390721;0.0151976;-0.014983713;-0.029593944;0.022012579;0;0.004;0.018181874;-0.017102971;-0.01216545;-0.024591836;0.016666667;-0.006451576;0;-0.012011952;-0.014201136;-0.028391229;0.111162379;0.004836662;0.016293081;0;0;-0.00554232;-0.00707808;-0.008528827;0;0;0.002265071;0.016808532;0;0;0;-0.007308898;0;-0.016436746;0.285714424
